age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,label
63,blue-collar,married,secondary,no,641,no,no,cellular,27,may,417,2,-1,0,unknown,1
60,unemployed,married,secondary,no,1047,no,no,cellular,27,may,173,3,279,4,success,1
29,blue-collar,single,tertiary,no,455,no,no,telephone,27,may,214,2,36,1,success,1
32,admin.,single,secondary,no,554,yes,no,cellular,28,may,101,2,368,5,failure,0
29,management,married,tertiary,no,8103,no,no,cellular,28,may,473,3,-1,0,unknown,1
59,retired,married,primary,no,4007,no,no,cellular,28,may,581,3,63,6,failure,0
54,technician,married,secondary,no,65,no,no,cellular,28,may,309,4,93,4,failure,0
23,student,single,secondary,no,922,no,no,cellular,28,may,538,2,184,9,failure,1
33,services,single,unknown,no,523,yes,no,unknown,28,may,86,1,-1,0,unknown,1
48,housemaid,married,secondary,no,0,no,no,cellular,28,may,270,5,-1,0,unknown,1
39,technician,married,tertiary,no,108,no,no,cellular,28,may,589,3,28,2,other,0
26,student,single,secondary,no,4613,no,no,cellular,28,may,663,3,196,2,other,1
34,management,married,tertiary,no,813,yes,no,cellular,28,may,114,3,-1,0,unknown,0
28,student,single,tertiary,no,118,no,no,cellular,31,may,85,2,35,5,other,0
83,retired,divorced,primary,no,0,no,no,telephone,31,may,664,1,77,3,success,0
33,management,married,tertiary,no,1388,yes,no,cellular,31,may,158,1,202,3,failure,0
26,technician,single,tertiary,no,515,no,no,cellular,31,may,775,1,-1,0,unknown,1
55,unemployed,married,primary,no,1212,no,no,cellular,31,may,178,1,-1,0,unknown,0
26,unemployed,single,secondary,no,1064,no,no,unknown,31,may,113,1,-1,0,unknown,0
41,entrepreneur,married,tertiary,no,70,no,no,unknown,31,may,14,1,557,1,failure,0
55,admin.,married,secondary,no,8304,no,no,cellular,1,jun,201,1,-1,0,unknown,1
57,management,divorced,unknown,no,2986,no,no,unknown,1,jun,1563,1,166,3,success,0
30,admin.,married,secondary,no,0,no,no,cellular,1,jun,318,1,-1,0,unknown,1
36,technician,married,secondary,no,1368,no,no,cellular,1,jun,516,1,292,5,failure,1
33,admin.,single,tertiary,no,272,yes,no,cellular,1,jun,326,1,237,2,failure,1
28,blue-collar,single,secondary,no,-46,yes,no,cellular,1,jun,154,2,91,12,success,1
65,retired,divorced,primary,no,1840,no,no,cellular,1,jun,383,2,188,5,failure,0
33,unemployed,single,secondary,no,427,no,no,unknown,1,jun,12,1,-1,0,unknown,0
28,services,single,secondary,no,168,no,no,cellular,1,jun,347,3,140,2,success,1
70,retired,married,primary,no,2346,no,no,cellular,1,jun,421,1,97,6,success,0
51,management,married,tertiary,no,176,yes,yes,unknown,1,jun,8,1,687,2,failure,0
21,student,single,unknown,no,200,no,no,unknown,1,jun,8,1,-1,0,unknown,0
44,unemployed,married,secondary,no,317,yes,yes,unknown,1,jun,4,1,-1,0,unknown,0
31,management,single,tertiary,no,515,no,no,cellular,1,jun,296,5,-1,0,unknown,1
28,management,single,tertiary,no,223,yes,no,cellular,1,jun,303,1,278,3,success,1
28,blue-collar,single,secondary,no,75,no,no,unknown,1,jun,7,1,-1,0,unknown,0
32,management,married,tertiary,no,1402,no,no,unknown,1,jun,52,1,557,2,failure,0
45,management,divorced,tertiary,no,0,no,no,unknown,1,jun,5,1,-1,0,unknown,0
36,self-employed,single,tertiary,no,134,no,yes,unknown,1,jun,36,1,-1,0,unknown,0
34,technician,single,secondary,no,1087,no,no,unknown,1,jun,7,1,-1,0,unknown,0
29,blue-collar,married,secondary,no,3310,no,no,cellular,2,jun,344,2,117,2,failure,0
49,admin.,single,tertiary,no,228,yes,no,cellular,2,jun,407,1,92,1,success,1
27,blue-collar,single,tertiary,no,644,no,no,cellular,2,jun,657,1,182,1,success,1
28,admin.,married,secondary,no,330,no,no,cellular,2,jun,226,2,182,4,success,1
37,admin.,divorced,tertiary,no,4708,no,no,cellular,2,jun,238,1,181,2,success,1
54,management,divorced,tertiary,no,496,no,no,cellular,2,jun,161,1,140,3,success,0
65,admin.,married,secondary,no,952,no,no,cellular,2,jun,310,1,-1,0,unknown,1
31,technician,single,secondary,no,90,no,yes,unknown,4,jun,35,1,-1,0,unknown,0
27,blue-collar,single,primary,no,268,no,no,unknown,4,jun,32,1,-1,0,unknown,0
62,management,married,tertiary,no,5008,no,no,telephone,4,jun,139,2,-1,0,unknown,0
30,technician,single,secondary,no,1165,no,no,cellular,4,jun,204,2,183,3,success,1
39,housemaid,divorced,secondary,no,70,no,no,cellular,4,jun,346,2,128,8,success,0
26,technician,single,tertiary,no,1066,no,no,cellular,4,jun,112,1,50,1,success,0
62,management,married,tertiary,no,0,yes,yes,cellular,4,jun,106,1,64,3,failure,0
30,management,married,tertiary,no,1288,no,no,unknown,7,jun,6,1,-1,0,unknown,0
33,technician,single,tertiary,no,172,no,no,unknown,7,jun,13,1,-1,0,unknown,0
51,management,married,tertiary,no,0,no,no,unknown,7,jun,302,1,-1,0,unknown,1
56,admin.,married,secondary,no,699,no,no,unknown,7,jun,54,1,-1,0,unknown,0
22,services,single,secondary,no,361,no,no,telephone,7,jun,140,4,367,2,failure,0
68,retired,married,unknown,no,3701,no,no,telephone,8,jun,149,1,-1,0,unknown,0
38,admin.,married,secondary,no,0,yes,no,cellular,8,jun,187,1,181,2,success,1
36,technician,divorced,secondary,no,2823,yes,no,cellular,8,jun,215,1,371,6,failure,1
35,management,single,tertiary,no,3544,yes,no,cellular,8,jun,380,1,-1,0,unknown,1
23,student,single,tertiary,no,508,no,no,cellular,8,jun,544,1,-1,0,unknown,0
63,retired,divorced,secondary,no,1490,no,no,cellular,8,jun,506,1,-1,0,unknown,1
39,services,married,secondary,no,1970,yes,no,unknown,8,jun,30,1,404,2,success,0
59,blue-collar,married,secondary,no,448,no,no,unknown,8,jun,198,1,651,7,other,0
34,admin.,married,secondary,no,592,yes,no,unknown,8,jun,49,1,-1,0,unknown,0
49,management,divorced,tertiary,no,1405,no,no,unknown,8,jun,29,1,-1,0,unknown,0
59,management,married,tertiary,no,101,no,yes,unknown,9,jun,29,1,686,2,failure,0
63,retired,married,primary,no,48,no,no,cellular,9,jun,251,1,-1,0,unknown,1
34,management,married,tertiary,no,158,no,no,cellular,9,jun,190,1,92,9,success,1
36,services,married,secondary,no,4721,no,no,cellular,9,jun,150,1,92,5,success,1
31,management,married,tertiary,no,877,no,no,cellular,9,jun,192,1,93,7,other,1
28,management,single,tertiary,no,187,no,no,cellular,9,jun,206,1,92,1,success,1
80,retired,married,secondary,no,8304,no,no,telephone,9,jun,712,1,64,12,failure,1
39,blue-collar,married,secondary,no,276,no,no,cellular,9,jun,334,2,-1,0,unknown,1
34,services,divorced,secondary,no,44,no,no,unknown,9,jun,118,1,-1,0,unknown,0
83,retired,married,tertiary,no,4761,no,no,telephone,9,jun,294,2,93,1,success,0
31,management,single,tertiary,no,147,no,no,cellular,9,jun,163,2,92,3,success,1
39,services,married,secondary,no,323,no,no,cellular,9,jun,874,2,188,6,failure,1
50,admin.,married,secondary,no,2971,no,no,cellular,9,jun,722,2,-1,0,unknown,0
27,admin.,single,secondary,no,240,yes,yes,unknown,9,jun,46,1,-1,0,unknown,0
50,technician,single,tertiary,no,2,no,no,unknown,10,jun,2389,1,-1,0,unknown,0
30,blue-collar,single,secondary,no,799,no,no,unknown,13,jun,674,1,-1,0,unknown,1
73,retired,married,primary,no,508,no,no,cellular,14,jun,154,4,97,1,success,0
67,retired,married,unknown,no,2540,no,no,telephone,14,jun,278,5,116,4,other,1
29,blue-collar,single,secondary,no,322,no,no,unknown,14,jun,434,1,96,6,other,1
36,management,married,tertiary,no,495,no,no,cellular,14,jun,187,1,94,9,success,1
24,student,single,unknown,no,358,no,no,cellular,14,jun,245,1,384,1,other,1
58,management,married,tertiary,no,256,no,no,cellular,14,jun,508,1,186,4,success,0
30,technician,single,secondary,no,2371,no,no,cellular,14,jun,661,1,384,2,other,1
21,student,single,unknown,no,53,no,no,cellular,14,jun,270,1,-1,0,unknown,1
27,admin.,single,unknown,no,861,no,no,cellular,14,jun,212,4,-1,0,unknown,1
56,admin.,married,secondary,no,602,no,no,cellular,14,jun,458,1,130,8,success,1
66,admin.,married,secondary,no,4041,no,no,cellular,14,jun,713,2,-1,0,unknown,1
28,unemployed,single,secondary,no,304,no,no,cellular,14,jun,516,1,-1,0,unknown,0
71,retired,divorced,primary,no,275,no,no,cellular,14,jun,293,1,425,1,success,1
26,services,single,tertiary,no,12,no,no,cellular,14,jun,563,1,181,10,failure,1
30,unemployed,single,tertiary,no,4082,no,no,telephone,14,jun,215,1,459,17,other,0
30,admin.,married,secondary,no,166,no,no,unknown,14,jun,30,1,-1,0,unknown,0
31,management,married,tertiary,no,1126,no,no,unknown,14,jun,20,1,-1,0,unknown,0
31,management,single,tertiary,no,938,no,no,cellular,14,jun,472,1,384,3,failure,0
31,management,single,tertiary,no,4533,no,no,cellular,14,jun,262,3,98,3,other,0
62,retired,married,primary,no,1742,no,no,cellular,14,jun,167,2,98,6,other,1
32,self-employed,single,tertiary,no,46,yes,no,cellular,14,jun,485,2,-1,0,unknown,1
68,retired,divorced,primary,no,2027,no,no,cellular,15,jun,619,2,92,2,success,1
37,admin.,married,tertiary,no,3221,no,no,cellular,15,jun,379,2,376,13,other,1
27,management,single,tertiary,no,1720,no,no,cellular,15,jun,910,1,224,3,success,1
59,retired,divorced,primary,no,1194,yes,no,cellular,15,jun,132,4,389,2,failure,0
35,technician,married,secondary,no,294,yes,no,cellular,15,jun,238,6,98,5,success,0
45,technician,single,tertiary,no,2033,no,no,cellular,15,jun,243,5,285,2,success,1
51,admin.,married,tertiary,no,0,yes,yes,cellular,15,jun,177,4,99,2,success,0
76,self-employed,married,unknown,no,4984,no,no,telephone,15,jun,126,3,48,2,success,0
27,management,single,tertiary,no,2786,no,no,cellular,15,jun,270,2,377,3,success,0
64,retired,married,secondary,no,3189,no,no,telephone,15,jun,208,1,-1,0,unknown,1
28,management,single,tertiary,no,2725,no,no,cellular,16,jun,292,1,504,1,failure,1
48,technician,divorced,secondary,no,1290,no,no,unknown,16,jun,58,1,-1,0,unknown,0
38,student,divorced,tertiary,no,2946,no,no,cellular,16,jun,605,3,-1,0,unknown,1
66,housemaid,married,primary,no,1230,no,no,cellular,16,jun,288,6,181,3,success,1
30,management,single,tertiary,no,572,no,no,cellular,17,jun,339,3,183,2,success,1
38,blue-collar,married,primary,no,1630,yes,no,cellular,17,jun,101,3,94,19,other,0
39,technician,single,secondary,no,1435,no,no,cellular,17,jun,383,1,296,19,other,1
24,technician,single,secondary,no,403,no,no,unknown,17,jun,247,1,-1,0,unknown,1
30,services,divorced,secondary,no,436,yes,no,cellular,17,jun,1720,1,-1,0,unknown,1
24,unemployed,married,secondary,no,6,no,no,unknown,17,jun,21,1,-1,0,unknown,0
75,retired,married,primary,no,962,no,no,cellular,17,jun,344,1,-1,0,unknown,0
63,retired,married,secondary,no,23047,no,no,cellular,17,jun,530,1,139,2,other,0
49,technician,married,tertiary,no,1071,no,no,cellular,17,jun,169,1,-1,0,unknown,1
34,management,married,tertiary,no,3301,yes,no,cellular,17,jun,485,2,227,4,failure,1
36,admin.,married,secondary,no,1031,no,no,cellular,17,jun,282,4,-1,0,unknown,1
46,blue-collar,married,secondary,no,1723,no,no,cellular,17,jun,176,2,52,7,failure,1
32,technician,single,tertiary,no,705,no,no,cellular,17,jun,544,1,-1,0,unknown,1
52,blue-collar,married,secondary,no,955,no,yes,cellular,17,jun,301,2,134,4,success,1
53,entrepreneur,married,tertiary,no,1961,no,no,cellular,18,jun,91,2,185,1,success,0
71,retired,married,secondary,no,29941,no,no,telephone,18,jun,80,1,71,3,other,0
25,blue-collar,single,secondary,no,303,no,no,cellular,18,jun,252,1,92,1,success,1
60,management,married,primary,no,8334,no,no,cellular,18,jun,143,1,49,7,other,0
29,management,single,tertiary,no,1431,no,no,cellular,18,jun,201,4,-1,0,unknown,0
50,admin.,married,secondary,no,100,yes,no,unknown,18,jun,23,1,-1,0,unknown,0
20,student,single,secondary,no,153,no,no,unknown,21,jun,100,1,-1,0,unknown,1
46,services,married,secondary,no,0,yes,no,cellular,22,jun,154,1,124,1,other,0
61,retired,married,secondary,no,2011,no,no,cellular,22,jun,292,1,578,2,failure,0
57,management,divorced,tertiary,no,3287,no,no,cellular,22,jun,867,1,84,3,success,1
32,admin.,single,secondary,no,131,yes,no,cellular,22,jun,522,1,183,2,success,1
52,management,married,unknown,no,1708,no,no,telephone,23,jun,193,1,145,3,failure,0
32,management,married,tertiary,no,913,yes,no,cellular,23,jun,883,1,674,4,failure,0
64,retired,divorced,primary,no,109,no,no,cellular,23,jun,706,1,225,2,success,1
33,management,single,tertiary,no,224,no,no,cellular,23,jun,342,2,107,2,success,1
30,blue-collar,single,secondary,no,315,no,no,cellular,23,jun,1407,1,-1,0,unknown,1
36,management,single,tertiary,no,538,no,no,cellular,23,jun,339,1,183,5,success,1
32,technician,married,tertiary,no,903,yes,no,cellular,23,jun,181,1,320,1,other,0
59,management,married,tertiary,no,5397,no,no,cellular,23,jun,671,3,-1,0,unknown,1
34,student,single,unknown,no,5969,no,no,cellular,23,jun,442,2,292,10,failure,0
25,student,single,secondary,no,1957,no,no,cellular,24,jun,1207,4,385,1,failure,1
43,services,married,secondary,no,774,no,no,cellular,24,jun,482,1,91,2,success,1
75,retired,married,secondary,no,468,no,no,telephone,24,jun,316,1,-1,0,unknown,0
37,self-employed,single,tertiary,no,1188,no,no,cellular,24,jun,310,1,-1,0,unknown,1
24,student,single,unknown,no,1082,no,no,cellular,24,jun,185,1,-1,0,unknown,0
35,management,married,tertiary,no,1870,yes,no,cellular,24,jun,134,1,386,1,failure,0
30,technician,single,secondary,no,254,yes,yes,cellular,24,jun,167,3,416,2,unknown,0
27,management,single,tertiary,no,6791,no,no,cellular,24,jun,136,5,94,30,failure,0
31,technician,married,tertiary,no,3338,yes,no,cellular,24,jun,122,2,185,2,success,0
21,student,single,unknown,no,762,no,no,cellular,24,jun,288,1,-1,0,unknown,0
40,technician,married,secondary,no,697,no,no,cellular,24,jun,220,2,219,2,other,0
53,blue-collar,married,unknown,no,960,no,yes,unknown,24,jun,180,1,687,2,other,0
37,admin.,divorced,secondary,no,450,yes,yes,unknown,24,jun,15,1,-1,0,unknown,0
37,admin.,single,secondary,no,16,no,no,unknown,24,jun,11,1,-1,0,unknown,0
26,student,single,secondary,no,696,no,no,unknown,24,jun,22,1,-1,0,unknown,0
46,blue-collar,married,primary,no,67,no,no,unknown,24,jun,9,1,-1,0,unknown,0
49,management,married,tertiary,no,1167,yes,yes,cellular,25,jun,213,6,150,8,failure,1
42,technician,divorced,tertiary,no,2611,yes,no,cellular,25,jun,300,1,389,3,failure,1
27,blue-collar,single,secondary,no,3145,no,no,cellular,25,jun,374,1,179,2,success,1
57,unemployed,married,secondary,no,1350,no,no,cellular,25,jun,131,1,388,1,failure,0
30,technician,single,secondary,no,938,no,no,cellular,25,jun,171,1,141,3,other,0
45,technician,married,tertiary,no,1818,yes,yes,cellular,25,jun,427,1,142,5,success,0
57,technician,married,secondary,no,363,no,no,cellular,25,jun,195,6,-1,0,unknown,0
33,management,single,tertiary,no,794,no,no,unknown,25,jun,12,1,-1,0,unknown,0
29,technician,single,secondary,no,825,no,no,cellular,25,jun,472,2,-1,0,unknown,1
27,student,single,secondary,no,833,no,no,telephone,25,jun,359,5,-1,0,unknown,0
37,technician,married,tertiary,no,122,no,no,cellular,25,jun,266,2,318,3,other,1
30,blue-collar,single,primary,no,185,no,no,unknown,26,jun,11,1,-1,0,unknown,0
35,management,married,tertiary,no,358,no,no,unknown,27,jun,18,1,-1,0,unknown,0
34,services,married,unknown,no,746,no,no,unknown,27,jun,32,1,-1,0,unknown,0
72,retired,married,primary,no,0,no,no,cellular,28,jun,348,6,94,6,failure,0
31,services,single,secondary,no,334,no,no,unknown,28,jun,54,1,-1,0,unknown,0
47,management,single,tertiary,no,334,yes,no,cellular,28,jun,614,3,94,9,success,1
38,management,single,tertiary,no,623,no,no,cellular,28,jun,297,4,144,4,other,1
48,management,single,tertiary,no,86,no,no,cellular,28,jun,281,3,186,6,other,1
36,management,married,tertiary,no,1790,yes,no,cellular,28,jun,132,3,392,2,other,0
55,housemaid,divorced,primary,no,976,no,no,cellular,28,jun,345,1,94,3,other,1
39,technician,single,tertiary,no,393,no,no,cellular,28,jun,325,1,94,1,success,1
49,admin.,single,secondary,no,293,no,no,cellular,28,jun,452,1,-1,0,unknown,1
26,management,single,tertiary,no,222,no,no,cellular,28,jun,247,1,63,2,success,1
37,services,single,secondary,no,23,yes,no,cellular,28,jun,197,1,182,1,failure,0
68,retired,divorced,primary,no,476,no,no,telephone,28,jun,363,1,-1,0,unknown,1
31,student,single,tertiary,no,4951,no,no,cellular,28,jun,150,3,-1,0,unknown,0
22,student,single,secondary,no,10971,no,no,cellular,28,jun,181,2,-1,0,unknown,0
45,management,married,unknown,no,2724,no,no,cellular,28,jun,359,2,182,1,success,1
57,unknown,married,primary,no,1884,no,no,telephone,28,jun,133,4,-1,0,unknown,0
67,retired,married,primary,no,2391,no,no,cellular,28,jun,737,6,186,10,other,1
22,housemaid,single,secondary,no,1796,no,no,cellular,28,jun,369,3,-1,0,unknown,1
60,retired,married,secondary,no,11,no,no,cellular,29,jun,265,1,586,2,failure,1
31,blue-collar,single,secondary,no,54,yes,no,cellular,29,jun,401,1,-1,0,unknown,1
60,retired,married,secondary,no,2060,no,no,cellular,29,jun,135,4,95,4,failure,0
58,blue-collar,married,primary,no,3109,no,no,cellular,29,jun,295,1,287,4,success,1
41,admin.,married,secondary,no,3126,yes,no,cellular,29,jun,222,1,91,7,failure,1
47,admin.,married,secondary,no,0,no,yes,cellular,29,jun,238,1,139,4,failure,0
23,services,single,secondary,no,488,no,no,cellular,29,jun,205,1,91,3,success,1
30,student,single,secondary,no,314,no,no,cellular,29,jun,189,1,204,6,success,0
39,management,married,tertiary,no,2939,no,no,cellular,29,jun,385,1,165,2,success,0
35,unemployed,married,secondary,no,978,no,no,cellular,29,jun,660,2,182,6,success,1
33,management,single,tertiary,no,718,yes,no,cellular,29,jun,271,1,84,3,success,1
29,student,single,secondary,no,808,no,no,cellular,29,jun,189,1,362,1,other,0
33,management,single,tertiary,no,3143,no,no,cellular,29,jun,421,2,-1,0,unknown,1
45,technician,married,tertiary,no,2699,yes,no,cellular,29,jun,264,4,-1,0,unknown,0
50,technician,married,tertiary,no,5114,no,no,telephone,29,jun,286,2,153,2,other,0
32,technician,divorced,tertiary,no,3255,no,no,cellular,29,jun,167,2,-1,0,unknown,1
44,blue-collar,single,secondary,no,276,yes,no,unknown,29,jun,13,1,411,6,failure,0
27,student,single,secondary,no,1423,no,no,unknown,29,jun,8,1,-1,0,unknown,0
31,management,single,tertiary,no,1539,yes,no,cellular,30,jun,107,2,756,2,other,0
32,student,single,tertiary,no,64,no,no,cellular,30,jun,598,4,105,5,failure,1
33,technician,single,secondary,no,555,no,no,cellular,30,jun,255,2,-1,0,unknown,0
48,admin.,single,secondary,no,1544,yes,no,telephone,30,jun,263,1,450,2,failure,1
19,student,single,secondary,no,424,no,no,cellular,30,jun,121,3,195,2,other,0
41,admin.,single,secondary,no,985,yes,no,cellular,30,jun,274,2,391,11,success,1
49,housemaid,married,primary,no,360,no,no,unknown,30,jun,6,1,-1,0,unknown,0
77,retired,married,tertiary,no,1047,no,no,cellular,30,jun,108,5,-1,0,unknown,0
43,management,single,tertiary,no,0,no,no,cellular,30,jun,275,2,296,1,failure,1
32,technician,single,tertiary,no,4071,no,no,cellular,30,jun,319,2,-1,0,unknown,1
39,technician,married,secondary,no,4861,yes,no,telephone,30,jun,119,1,183,2,other,0
21,student,single,secondary,no,2488,no,no,cellular,30,jun,258,6,169,3,success,1
74,retired,divorced,primary,no,29080,no,no,cellular,30,jun,301,5,93,4,other,1
72,retired,single,tertiary,no,1285,no,no,telephone,1,jul,494,4,150,9,failure,0
39,blue-collar,married,primary,no,1,yes,no,unknown,1,jul,165,1,745,2,failure,0
29,services,single,secondary,no,0,no,no,unknown,1,jul,12,1,514,3,failure,0
52,management,divorced,tertiary,no,3,no,no,unknown,1,jul,28,1,-1,0,unknown,0
42,technician,married,secondary,no,2152,no,no,cellular,1,jul,113,2,93,4,failure,0
32,management,single,tertiary,no,12569,no,no,cellular,1,jul,561,2,295,2,success,1
63,retired,married,secondary,no,2896,no,no,cellular,1,jul,304,1,119,2,success,1
19,student,single,secondary,no,526,no,no,cellular,1,jul,174,1,199,3,failure,0
37,blue-collar,married,secondary,no,195,yes,no,unknown,1,jul,10,1,-1,0,unknown,0
29,self-employed,single,tertiary,no,805,no,no,cellular,1,jul,302,2,128,8,success,0
53,services,divorced,secondary,no,36,yes,yes,unknown,2,jul,25,1,417,1,success,1
34,self-employed,single,tertiary,no,0,yes,no,unknown,2,jul,48,1,422,1,success,0
28,student,single,secondary,no,196,no,no,cellular,2,jul,423,3,-1,0,unknown,1
35,blue-collar,married,secondary,no,262,no,no,cellular,2,jul,96,2,109,4,success,0
31,services,single,secondary,no,1027,no,no,cellular,2,jul,217,3,-1,0,unknown,1
67,retired,married,tertiary,no,1948,no,no,cellular,2,jul,844,2,155,5,success,0
43,technician,divorced,unknown,no,4389,no,no,telephone,2,jul,632,2,85,1,success,1
32,self-employed,single,tertiary,no,4024,yes,no,cellular,2,jul,150,1,-1,0,unknown,0
26,blue-collar,single,secondary,no,463,no,yes,cellular,2,jul,248,2,-1,0,unknown,1
31,student,single,secondary,no,3511,no,no,cellular,2,jul,667,1,-1,0,unknown,1
45,management,married,secondary,no,2897,no,no,cellular,2,jul,301,2,88,5,failure,0
39,management,divorced,tertiary,no,224,no,no,cellular,2,jul,194,2,88,1,success,1
56,blue-collar,married,primary,no,1014,no,no,unknown,2,jul,5,1,-1,0,unknown,0
35,self-employed,single,tertiary,no,398,no,no,cellular,5,jul,101,3,-1,0,unknown,0
29,technician,single,secondary,no,738,no,no,unknown,5,jul,29,1,-1,0,unknown,0
32,student,single,secondary,no,61,no,yes,cellular,5,jul,178,3,515,7,failure,0
28,services,single,secondary,no,198,no,no,cellular,5,jul,128,2,-1,0,unknown,1
32,blue-collar,single,secondary,no,1029,no,no,cellular,5,jul,175,4,-1,0,unknown,0
30,technician,single,tertiary,no,0,yes,no,cellular,5,jul,140,1,424,8,success,1
65,retired,divorced,secondary,no,744,no,no,cellular,5,jul,182,1,-1,0,unknown,0
24,admin.,single,tertiary,no,674,yes,no,cellular,6,jul,267,1,-1,0,unknown,1
32,management,single,tertiary,no,623,no,no,cellular,6,jul,335,3,194,2,failure,1
29,management,single,unknown,no,560,no,no,cellular,6,jul,212,1,92,2,success,0
50,technician,married,tertiary,no,0,no,yes,cellular,6,jul,257,1,85,7,failure,0
46,management,divorced,tertiary,no,558,no,no,cellular,6,jul,319,1,-1,0,unknown,1
30,management,married,tertiary,no,69,yes,no,unknown,6,jul,42,1,-1,0,unknown,0
60,technician,married,secondary,no,259,no,no,cellular,6,jul,396,1,386,2,success,1
33,blue-collar,single,secondary,no,688,no,no,unknown,6,jul,226,1,-1,0,unknown,0
37,technician,married,secondary,no,432,yes,no,cellular,6,jul,386,3,776,55,failure,1
60,management,divorced,primary,no,2694,no,no,telephone,6,jul,295,1,-1,0,unknown,0
43,technician,married,secondary,no,69,yes,yes,cellular,7,jul,156,1,260,2,failure,0
48,management,single,tertiary,no,159,no,no,telephone,7,jul,229,1,251,6,success,1
52,services,married,secondary,no,657,no,no,telephone,7,jul,398,2,460,2,failure,1
29,management,single,tertiary,no,1808,no,no,cellular,7,jul,273,2,433,1,success,1
71,retired,divorced,unknown,no,392,no,no,telephone,7,jul,276,2,-1,0,unknown,1
42,management,married,tertiary,no,298,no,no,cellular,8,jul,214,4,115,6,failure,0
47,management,single,tertiary,no,6651,no,no,cellular,8,jul,229,1,412,2,failure,1
70,retired,married,primary,no,2795,no,no,cellular,8,jul,480,1,181,2,success,1
28,management,single,tertiary,yes,1414,yes,no,cellular,8,jul,294,1,521,1,failure,1
70,retired,divorced,secondary,no,4572,no,no,cellular,8,jul,173,11,162,5,failure,0
31,self-employed,married,tertiary,no,2666,no,no,telephone,8,jul,411,2,148,9,other,1
80,retired,married,secondary,no,668,no,no,telephone,8,jul,250,1,371,1,success,1
29,management,single,tertiary,no,502,no,no,cellular,8,jul,968,1,87,5,failure,1
29,admin.,single,secondary,no,1992,no,no,cellular,8,jul,202,1,87,2,failure,0
23,student,single,secondary,no,1809,no,no,cellular,8,jul,414,2,-1,0,unknown,1
34,services,single,secondary,no,267,no,no,cellular,8,jul,449,2,-1,0,unknown,1
38,management,married,tertiary,no,2656,no,no,cellular,8,jul,230,2,-1,0,unknown,0
69,retired,married,secondary,no,2473,no,no,cellular,8,jul,967,3,-1,0,unknown,1
79,retired,divorced,unknown,no,2628,no,no,telephone,8,jul,220,7,450,2,failure,0
19,student,single,secondary,no,372,no,no,telephone,8,jul,444,3,-1,0,unknown,1
59,management,married,secondary,no,111,no,no,telephone,8,jul,312,2,381,3,failure,0
27,admin.,single,secondary,no,914,no,no,cellular,8,jul,131,2,-1,0,unknown,0
35,blue-collar,single,unknown,no,484,no,no,cellular,8,jul,344,1,87,3,failure,1
38,admin.,married,secondary,no,1767,yes,no,cellular,9,jul,483,4,239,7,success,1
32,technician,single,unknown,no,491,no,no,cellular,9,jul,474,7,-1,0,unknown,1
36,technician,single,secondary,no,966,no,no,cellular,9,jul,119,9,367,4,other,0
43,self-employed,married,tertiary,no,2501,no,no,cellular,9,jul,582,2,161,4,failure,0
29,management,single,secondary,no,966,no,no,cellular,9,jul,1185,1,396,2,other,0
26,student,single,secondary,no,1164,no,no,cellular,9,jul,116,1,301,1,other,0
50,unknown,married,unknown,no,558,no,no,cellular,9,jul,464,1,683,6,failure,1
27,student,divorced,unknown,no,383,no,no,unknown,9,jul,15,1,-1,0,unknown,0
29,student,married,unknown,no,2229,no,no,unknown,9,jul,25,1,252,1,other,0
27,technician,single,secondary,no,337,no,no,unknown,9,jul,23,1,-1,0,unknown,1
53,admin.,single,secondary,no,654,no,no,unknown,10,jul,67,1,-1,0,unknown,1
40,admin.,married,secondary,no,457,no,no,unknown,12,jul,9,1,-1,0,unknown,0
35,admin.,single,tertiary,no,170,no,no,unknown,12,jul,12,1,-1,0,unknown,0
74,retired,married,primary,no,5539,no,no,cellular,12,jul,390,2,159,3,failure,0
27,unemployed,single,tertiary,no,77,no,no,cellular,12,jul,305,4,77,1,success,0
35,self-employed,married,tertiary,no,2427,no,no,cellular,12,jul,210,3,158,7,other,1
50,entrepreneur,divorced,tertiary,no,315,no,no,cellular,12,jul,101,2,185,2,failure,0
27,management,single,secondary,no,843,no,no,cellular,12,jul,123,2,185,1,success,0
66,retired,divorced,unknown,no,53,no,no,cellular,12,jul,562,4,-1,0,unknown,1
43,admin.,single,secondary,no,386,no,no,cellular,12,jul,220,3,529,1,failure,1
25,management,single,tertiary,no,380,no,no,cellular,12,jul,167,1,-1,0,unknown,0
20,student,single,primary,no,134,no,no,cellular,12,jul,273,1,277,3,other,0
30,self-employed,single,tertiary,no,251,no,no,cellular,12,jul,537,1,-1,0,unknown,1
29,services,single,secondary,no,102,no,no,cellular,12,jul,154,1,182,5,failure,0
57,retired,married,secondary,no,1044,no,no,telephone,12,jul,567,1,182,3,success,1
72,retired,divorced,tertiary,no,402,no,no,cellular,12,jul,194,3,-1,0,unknown,0
36,management,married,tertiary,no,93,no,no,cellular,12,jul,262,2,182,7,failure,1
31,management,single,tertiary,no,2907,yes,no,cellular,12,jul,248,1,194,3,failure,1
55,unknown,married,secondary,no,1157,no,no,cellular,12,jul,289,1,412,2,failure,0
72,admin.,married,primary,no,2321,no,no,cellular,12,jul,200,6,122,6,other,0
